University;scores_overall_rank;scores_teaching_rank;scores_research_rank;scores_citations_rank;scores_industry_income_rank;scores_international_outlook_rank;record_type;member_level;url;nid;location;stats_number_students;stats_student_staff_ratio;stats_pc_intl_students;stats_female_male_ratio;aliases;subjects_offered;closed;unaccredited;disabled
University of Glasgow;870;157;128;32;438;30;master_account;11;/world-university-rankings/university-glasgow;566;United Kingdom;32.270;14,4;43%;59:41:00;University of Glasgow;Architecture,Veterinary Science,Law,History, Philosophy & Theology,Civil Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Archaeology,Sport Science,Geography,Computer Science,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Education,Medicine & Dentistry,Agriculture & Forestry,Psychology;False;False;False
RWTH Aachen University;900;101;67;347;22;390;master_account;0;/world-university-rankings/rwth-aachen-university;632;Germany;34.914;43,3;29%;34 : 66;RWTH Aachen University;Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Biological Sciences,Chemistry,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Civil Engineering,Education,Languages, Literature & Linguistics,Geography,Electrical & Electronic Engineering,Sociology,Other Health,Veterinary Science,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Psychology;False;False;False
University of California, Irvine;920;175;119;72;102;242;public;0;/world-university-rankings/university-california-irvine;550;United States;35.675;16,2;26%;53:47:00;University of California, Irvine;Electrical & Electronic Engineering,General Engineering,Civil Engineering,Sociology,Biological Sciences,Psychology,Education,Chemical Engineering,Chemistry,Other Health,Medicine & Dentistry,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Business & Management,Art, Performing Arts & Design,Architecture,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Computer Science;False;False;False
Vanderbilt University;930;104;153;37;99;521;private;0;/world-university-rankings/vanderbilt-university;534;United States;12.971;3,9;17%;55:45:00;Vanderbilt University;Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Other Health,Economics & Econometrics,Chemistry,Mathematics & Statistics,Accounting & Finance,Communication & Media Studies,Business & Management,Civil Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Electrical & Electronic Engineering,Law,Education,Chemical Engineering,Languages, Literature & Linguistics;False;False;False
Lomonosov Moscow State University;950;17;46;1352;155;354;master_account;0;/world-university-rankings/lomonosov-moscow-state-university;753;Russian Federation;32.680;9,6;37%;50:50:00;Lomonosov Moscow State University;Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Education,Chemical Engineering,Communication & Media Studies,Computer Science,Geography,History, Philosophy & Theology,Sport Science,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Archaeology,Mathematics & Statistics,Business & Management,Sociology;False;False;True
University of Southampton;980;143;140;82;368;26;master_account;0;/world-university-rankings/university-southampton;593;United Kingdom;19.920;13;35%;51:49:00;University of Southampton;Geography,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Chemistry,Business & Management,General Engineering,Communication & Media Studies,Economics & Econometrics,History, Philosophy & Theology,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Law,Archaeology,Biological Sciences,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Sociology,Accounting & Finance;False;False;False
University of Birmingham;1010;185;147;42;383;45;master_account;0;/world-university-rankings/university-birmingham;612;United Kingdom;32.625;15,2;32%;58:42:00;University of Birmingham;Art, Performing Arts & Design,Civil Engineering,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Mathematics & Statistics,Accounting & Finance,Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Sport Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Law,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Sociology,Computer Science,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies);False;False;False
University of Copenhagen;1030;139;134;102;171;255;master_account;0;/world-university-rankings/university-copenhagen;599;Denmark;31.728;4,3;14%;62:38:00;University of Copenhagen;Sport Science,Chemistry,Archaeology,Geography,Medicine & Dentistry,Languages, Literature & Linguistics,Computer Science,Other Health,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Law,Veterinary Science,Economics & Econometrics,Agriculture & Forestry,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),History, Philosophy & Theology;False;False;False
McMaster University;1040;225;133;76;17;162;master_account;11;/world-university-rankings/mcmaster-university;529;Canada;28.254;30,9;22%;56:44:00;McMaster University;Other Health,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Civil Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Sport Science,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry;False;False;False
Emory University;1060;109;183;43;241;414;private;0;/world-university-rankings/emory-university;539;United States;13.127;4;19%;61:39:00;Emory University;Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Chemistry,Economics & Econometrics,General Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Communication & Media Studies,Other Health,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Law,Medicine & Dentistry,Biological Sciences,Business & Management;False;False;False
Lund University;1070;178;104;181;41;258;master_account;0;/world-university-rankings/lund-university;544;Sweden;30.349;12;18%;56:44:00;Lund University;Sociology,Computer Science,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Medicine & Dentistry,Biological Sciences,Education,Chemical Engineering,Geography,Archaeology,Agriculture & Forestry,Law,History, Philosophy & Theology,Civil Engineering,Other Health,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies);False;False;False
Aarhus University;1090;206;89;186;75;306;master_account;1;/world-university-rankings/aarhus-university;589;Denmark;26.996;13,5;9%;56:44:00;Aarhus University;Other Health,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Veterinary Science,Geography,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry;False;False;False
University of Maryland, College Park;1140;138;93;79;430;846;public;0;/world-university-rankings/university-maryland-college-park;559;United States;33.988;17;9%;49:51:00;University of Maryland, College Park;Chemical Engineering,General Engineering,Education,Geography,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Civil Engineering,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Mechanical & Aerospace Engineering,Archaeology,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences;False;False;False
Ghent University;1150;173;88;201;46;467;master_account;0;/world-university-rankings/ghent-university;570;Belgium;41.487;37,6;12%;57:43:00;Ghent University;Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Chemical Engineering,Psychology,Economics & Econometrics,Archaeology,Physics & Astronomy,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Law,Mechanical & Aerospace Engineering,Other Health,Geography,Art, Performing Arts & Design,Medicine & Dentistry,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Business & Management,Civil Engineering,Veterinary Science,Education,Agriculture & Forestry,Communication & Media Studies;False;False;False
University of Bern;1160;203;167;69;67;166;master_account;0;/world-university-rankings/university-bern;576;Switzerland;12.399;18,2;16%;59:41:00;University of Bern;Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Law,Other Health,Sociology,Veterinary Science,Psychology,Languages, Literature & Linguistics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Education,Art, Performing Arts & Design,Computer Science,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Sport Science,Communication & Media Studies;False;False;False
Michigan State University;1170;102;125;189;432;387;public;0;/world-university-rankings/michigan-state-university;560;United States;44.514;16,1;11%;52:48:00;Michigan State University;Architecture,Veterinary Science,Communication & Media Studies,Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Sociology,Languages, Literature & Linguistics,Education,Chemistry,Business & Management,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Mathematics & Statistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies),General Engineering;False;False;False
Texas A&M University;1180;98;77;388;313;501;public;0;/world-university-rankings/texas-am-university;629;United States;64.427;20,5;6%;47:53:00;Texas A&M University;Architecture,Physics & Astronomy,Communication & Media Studies,Education,Computer Science,Sport Science,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Biological Sciences,Psychology,Electrical & Electronic Engineering,Veterinary Science,Business & Management,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geography;False;False;False
Rice University;1190;89;184;183;351;179;private;0;/world-university-rankings/rice-university;536;United States;7.318;9,8;26%;42:58:00;Rice University;Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Biological Sciences,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Civil Engineering,Sociology,Architecture,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance;False;False;False
University of Vienna;1200;149;84;385;320;50;master_account;0;/world-university-rankings/university-vienna;603;Austria;31.318;37,4;31%;66:34:00;University of Vienna;Physics & Astronomy,Accounting & Finance,Archaeology,Chemistry,Education,History, Philosophy & Theology,Geography,Sport Science,Law,Languages, Literature & Linguistics,Veterinary Science,Business & Management,Mathematics & Statistics,Psychology,Other Health,Communication & Media Studies,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences;False;False;False
University of Helsinki;1210;158;97;114;451;647;master_account;0;/world-university-rankings/university-helsinki;555;Finland;22.887;15,9;5%;67:33:00;University of Helsinki;Computer Science,Geography,Physics & Astronomy,Biological Sciences,Psychology,Archaeology,Chemistry,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Veterinary Science,Education;False;False;False
University of Basel;1230;127;210;157;62;42;master_account;0;/world-university-rankings/university-basel;575;Switzerland;8.536;10,4;31%;56:44:00;University of Basel;Economics & Econometrics,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Other Health,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Medicine & Dentistry,Physics & Astronomy,Archaeology,Geography,Business & Management,Education,Biological Sciences;False;False;False
Vrije Universiteit Amsterdam;1250;297;137;68;151;197;master_account;0;/world-university-rankings/vrije-universiteit-amsterdam;625;Netherlands;31.704;19,2;18%;57:43:00;Vrije Universiteit Amsterdam;Sport Science,Psychology,Sociology,Medicine & Dentistry,Architecture,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Computer Science,Communication & Media Studies,Law,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Geography,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics;False;False;False
Technical University of Denmark;1260;129;162;257;52;98;master_account;0;/world-university-rankings/technical-university-denmark;643;Denmark;10.410;7,7;28%;32 : 68;Technical University of Denmark;Veterinary Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Chemical Engineering,Agriculture & Forestry,General Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemistry,Biological Sciences,Computer Science,Other Health;False;False;False
University of Oslo;1270;197;139;91;379;319;master_account;0;/world-university-rankings/university-oslo;647;Norway;20.967;12,5;15%;66:34:00;University of Oslo;Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Art, Performing Arts & Design,Biological Sciences,Geography,Education,Computer Science,Communication & Media Studies,Archaeology,Chemistry,History, Philosophy & Theology,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Law;False;False;False
University of Leeds;1290;187;150;167;458;57;master_account;0;/world-university-rankings/university-leeds;597;United Kingdom;33.450;14,4;32%;59:41:00;University of Leeds;Geography,Physics & Astronomy,Chemical Engineering,Medicine & Dentistry,Economics & Econometrics,Psychology,Other Health,Law,Business & Management,Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Architecture,History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Education,Communication & Media Studies,Languages, Literature & Linguistics;False;False;False
University of Nottingham;1300;196;180;115;402;87;master_account;0;/world-university-rankings/university-nottingham;604;United Kingdom;33.520;16;27%;54:46:00;University of Nottingham;History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Biological Sciences,Law,Accounting & Finance,Archaeology,Chemical Engineering,Chemistry,Art, Performing Arts & Design,Agriculture & Forestry,Physics & Astronomy,Architecture,Sport Science,Geography,Medicine & Dentistry,Veterinary Science,Sociology,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Education;False;False;False
Tohoku University;1310;48;61;924;37;613;master_account;0;/world-university-rankings/tohoku-university;584;Japan;17.409;11,8;12%;28 : 72;Tohoku University;Architecture,Agriculture & Forestry,Chemistry,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Physics & Astronomy,Archaeology,Biological Sciences,Geography,General Engineering,Sociology,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Veterinary Science,Education,Computer Science,Sport Science,Law;False;False;False
University of Florida;1320;93;103;357;174;774;public;0;/world-university-rankings/university-florida;590;United States;48.114;16,7;9%;56:44:00;University of Florida;Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Sociology,Other Health,Biological Sciences,Psychology,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Chemistry,Electrical & Electronic Engineering,Physics & Astronomy,Law,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Agriculture & Forestry,Business & Management,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Civil Engineering,Politics & International Studies (incl Development Studies);False;False;False
University of Rochester;1330;128;211;150;173;229;private;0;/world-university-rankings/university-rochester;545;United States;9.855;7,3;34%;50:50:00;University of Rochester;Mechanical & Aerospace Engineering,Biological Sciences,Education,Medicine & Dentistry,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Sociology,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Archaeology,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics;False;False;False
Queen Mary University of London;1350;376;216;14;350;7;master_account;0;/world-university-rankings/queen-mary-university-london;131678;United Kingdom;22.205;14,6;45%;54:46:00;Queen Mary University of London;Medicine & Dentistry,Biological Sciences,Chemistry,Communication & Media Studies,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,History, Philosophy & Theology,Law,Computer Science,Mathematics & Statistics,Chemical Engineering,Geography,Politics & International Studies (incl Development Studies),Other Health,Veterinary Science,Accounting & Finance,Physics & Astronomy;False;False;False
University of Colorado Boulder;1380;182;127;145;231;650;public;0;/world-university-rankings/university-colorado-boulder;541;United States;35.844;16,5;8%;45:55:00;University of Colorado Boulder;Business & Management,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Law,Sociology,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Architecture,Communication & Media Studies,Electrical & Electronic Engineering,Psychology,Education,Biological Sciences,Civil Engineering,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Geography;False;False;False
Uppsala University;1420;223;111;296;92;336;master_account;0;/world-university-rankings/uppsala-university;551;Sweden;24.749;13,3;17%;60:40:00;Uppsala University;Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Economics & Econometrics,Medicine & Dentistry,Civil Engineering,Education,Chemical Engineering,Law,Accounting & Finance,Computer Science,Geography,Business & Management,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy;False;False;False
The University of Western Australia;1440;368;152;144;94;74;master_account;0;/world-university-rankings/university-western-australia;654;Australia;19.382;22,4;26%;50:50:00;The University of Western Australia;Physics & Astronomy,Electrical & Electronic Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Psychology,Veterinary Science,Biological Sciences,Sociology,Archaeology,Architecture,Sport Science,Chemical Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Geography,Medicine & Dentistry,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Law,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Other Health,Computer Science,Communication & Media Studies,Agriculture & Forestry,Education;False;False;False
University of York;1470;257;191;112;507;83;master_account;0;/world-university-rankings/university-york;586;United Kingdom;19.505;16,1;31%;56:44:00;University of York;Chemistry,Archaeology,Geography,Economics & Econometrics,Computer Science,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Law,Accounting & Finance,Education,Mathematics & Statistics,History, Philosophy & Theology,Medicine & Dentistry,Psychology,Communication & Media Studies,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health;False;False;False
University of Technology Sydney;1480;421;207;39;278;60;master_account;0;/world-university-rankings/university-technology-sydney;906;Australia;28.223;37,4;25%;50:50:00;University of Technology Sydney UTS;General Engineering,Chemistry,Computer Science,Sport Science,Psychology,Other Health,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Physics & Astronomy,Law,Architecture,Mathematics & Statistics,Education,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Biological Sciences,Geography,Economics & Econometrics;False;False;False
National Taiwan University (NTU);1530;88;113;544;33;766;master_account;11;/world-university-rankings/national-taiwan-university-ntu;618;Taiwan;24.744;11,1;13%;41:59:00;National Taiwan University (NTU);Architecture,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Chemical Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Agriculture & Forestry,Sociology,Art, Performing Arts & Design,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Business & Management,General Engineering,Sport Science,Geography,Medicine & Dentistry,Civil Engineering,Law,Biological Sciences,Psychology;False;False;False
Lancaster University;1570;304;240;59;514;24;master_account;0;/world-university-rankings/lancaster-university;595;United Kingdom;15.385;13,9;38%;51:49:00;Lancaster University;Chemistry,Electrical & Electronic Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Architecture,Communication & Media Studies,Sociology,General Engineering,Sport Science,Chemical Engineering,Accounting & Finance,Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Mathematics & Statistics,Geography,Medicine & Dentistry,Education;False;False;False
University of Waterloo;1590;261;148;243;286;133;master_account;0;/world-university-rankings/university-waterloo;689;Canada;36.904;24,2;23%;47:53:00;University of Waterloo;Computer Science,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sport Science,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Psychology;False;False;False
University of Antwerp;1610;357;195;84;81;334;master_account;0;/world-university-rankings/university-antwerp;742;Belgium;16.168;31,8;17%;56:44:00;University of Antwerp;Sociology,General Engineering,Education,Biological Sciences,Law,Languages, Literature & Linguistics,Business & Management,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Veterinary Science,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Computer Science,Other Health,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design;False;False;False
Dartmouth College;1620;87;239;218;468;580;private;0;/world-university-rankings/dartmouth-college;554;United States;6.226;7,4;16%;49:51:00;Dartmouth College;General Engineering,Geography,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Civil Engineering,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Archaeology,Biological Sciences,Electrical & Electronic Engineering,Physics & Astronomy;False;False;False
Case Western Reserve University;1640;121;246;142;398;484;private;0;/world-university-rankings/case-western-reserve-university;557;United States;10.294;8,8;25%;51:49:00;Case Western Reserve University;General Engineering,Physics & Astronomy,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemical Engineering,Psychology,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Electrical & Electronic Engineering,Education,Architecture,Law,Art, Performing Arts & Design,Computer Science,Sociology;False;False;False
University of Cape Town;1670;344;168;149;287;210;master_account;11;/world-university-rankings/university-cape-town;567;South Africa;21.961;13,6;13%;54:46:00;University of Cape Town UCT;Communication & Media Studies,Economics & Econometrics,Law,General Engineering,Art, Performing Arts & Design,Accounting & Finance,Architecture,Mechanical & Aerospace Engineering,Biological Sciences,History, Philosophy & Theology,Business & Management,Sport Science,Chemistry,Physics & Astronomy,Sociology,Archaeology,Psychology,Medicine & Dentistry,Other Health,Computer Science,Education,Languages, Literature & Linguistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Geography,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies);False;False;False
University of Liverpool;1710;350;247;67;550;27;master_account;11;/world-university-rankings/university-liverpool;646;United Kingdom;25.955;14,2;32%;54:46:00;University of Liverpool;General Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering,Chemistry,Sociology,Economics & Econometrics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Veterinary Science,History, Philosophy & Theology,Civil Engineering,Accounting & Finance,Communication & Media Studies,Law,Other Health,Archaeology,Mathematics & Statistics,Business & Management,Psychology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Architecture;False;False;False
